data,vendas-iogurte,lead-time
2015-01-04,5083,4
2015-01-11,4936,3
2015-01-18,5051,6
2015-01-25,4846,4
2015-02-01,5003,5
2015-02-08,4993,6
2015-02-15,5039,9
2015-02-22,4981,8
2015-03-01,4983,3
2015-03-08,5065,7
2015-03-15,4904,5
2015-03-22,5024,5
2015-03-29,4968,3
2015-04-05,5099,7
2015-04-12,4886,7
2015-04-19,5113,4
2015-04-26,5036,6
2015-05-03,5012,5
2015-05-10,5157,5
2015-05-17,5227,4
2015-05-24,4893,2
2015-05-31,5174,3
2015-06-07,4951,4
2015-06-14,5078,5
2015-06-21,4964,6
2015-06-28,5015,7
2015-07-05,4903,6
2015-07-12,5044,7
2015-07-19,4977,6
2015-07-26,5057,6
2015-08-02,4960,5
2015-08-09,5117,4
2015-08-16,5016,3
2015-08-23,5000,5
2015-08-30,4944,6
2015-09-06,4879,5
2015-09-13,4996,5
2015-09-20,5065,4
2015-09-27,5105,8
2015-10-04,4963,4
2015-10-11,5054,7
2015-10-18,5092,6
2015-10-25,5015,4
2015-11-01,4976,4
2015-11-08,5052,6
2015-11-15,4932,6
2015-11-22,5053,4
2015-11-29,5002,4
2015-12-06,5016,7
2015-12-13,5122,5
2015-12-20,5099,3
2015-12-27,5070,8
2016-01-03,5035,6
2016-01-10,4974,7
2016-01-17,5129,5
2016-01-24,5029,6
2016-01-31,4916,7
2016-02-07,5049,5
2016-02-14,4993,4
2016-02-21,5098,4
2016-02-28,4991,5
2016-03-06,5042,6
2016-03-13,4939,5
2016-03-20,5062,7
2016-03-27,4979,5
2016-04-03,5031,7
2016-04-10,5162,5
2016-04-17,5127,5
2016-04-24,5054,8
2016-05-01,4952,9
2016-05-08,4932,5
2016-05-15,5129,5
2016-05-22,5010,4
2016-05-29,4995,5
2016-06-05,5036,6
2016-06-12,4918,6
2016-06-19,4855,5
2016-06-26,4963,1
2016-07-03,5175,6
2016-07-10,5011,1
2016-07-17,5053,4
2016-07-24,5052,7
2016-07-31,4976,4
2016-08-07,5058,5
2016-08-14,4954,7
2016-08-21,5119,4
2016-08-28,4951,6
2016-09-04,4949,3
2016-09-11,5047,6
2016-09-18,4962,6
2016-09-25,5066,6
2016-10-02,4989,3
2016-10-09,5115,4
2016-10-16,5042,6
2016-10-23,4893,9
2016-10-30,5098,5
2016-11-06,4838,4
2016-11-13,5090,4
2016-11-20,5144,5
2016-11-27,4932,1
2016-12-04,4947,4
2016-12-11,4931,2
2016-12-18,5004,3
2016-12-25,4993,5
2017-01-01,5104,4
2017-01-08,4978,6
2017-01-15,5054,4
2017-01-22,4967,4
2017-01-29,4958,6
2017-02-05,5077,6
2017-02-12,4937,5
2017-02-19,4862,3
2017-02-26,4990,6
2017-03-05,5064,4
2017-03-12,5104,5
2017-03-19,4975,4
2017-03-26,4995,4
2017-04-02,4840,6
2017-04-09,4897,6
2017-04-16,4904,3
2017-04-23,4947,3
2017-04-30,5011,7
2017-05-07,5020,6
2017-05-14,5024,2
2017-05-21,4963,5
2017-05-28,4963,7
2017-06-04,4867,3
2017-06-11,5034,4
2017-06-18,4994,6
2017-06-25,4899,5
2017-07-02,4988,4
2017-07-09,4973,3
2017-07-16,4952,2
2017-07-23,5102,3
2017-07-30,4931,4
2017-08-06,5070,6
2017-08-13,4993,4
2017-08-20,5075,4
2017-08-27,5000,4
2017-09-03,4906,8
2017-09-10,5020,4
2017-09-17,4881,6
2017-09-24,5036,5
2017-10-01,5013,5
2017-10-08,5205,5
2017-10-15,5029,5
2017-10-22,4956,7
2017-10-29,4926,3
2017-11-05,4992,5
2017-11-12,5013,4
2017-11-19,5031,5
2017-11-26,4892,3
2017-12-03,4937,5
2017-12-10,5007,5
2017-12-17,5087,7
2017-12-24,5116,5
2017-12-31,4988,4
2018-01-07,5005,5
2018-01-14,4913,6
2018-01-21,4976,4
2018-01-28,4995,5
2018-02-04,4885,4
2018-02-11,4975,6
2018-02-18,5088,6
2018-02-25,4851,7
2018-03-04,4970,5
2018-03-11,5062,3
2018-03-18,4963,6
2018-03-25,5088,7
2018-04-01,4916,3
2018-04-08,4968,6
2018-04-15,4996,5
2018-04-22,5031,7
2018-04-29,4923,4
2018-05-06,4893,7
2018-05-13,4861,5
2018-05-20,5070,5
2018-05-27,4990,6
2018-06-03,4944,8
2018-06-10,5011,6
2018-06-17,5067,8
2018-06-24,4959,5
2018-07-01,4849,6
2018-07-08,4902,2
2018-07-15,5064,5
2018-07-22,5073,4
2018-07-29,5073,5
2018-08-05,4939,4
2018-08-12,5060,4
2018-08-19,4904,4
2018-08-26,5135,4
2018-09-02,5100,1
2018-09-09,4900,4
2018-09-16,5063,6
2018-09-23,4983,4
2018-09-30,5086,3
2018-10-07,4883,4
2018-10-14,4921,7
2018-10-21,5076,6
2018-10-28,4898,5
2018-11-04,4973,6
2018-11-11,4969,7
2018-11-18,4922,4
2018-11-25,5030,6
2018-12-02,4869,6
2018-12-09,5020,5
2018-12-16,5002,4
2018-12-23,5067,6
2018-12-30,5109,5
2019-01-06,5056,4
2019-01-13,4859,4
2019-01-20,4832,6
2019-01-27,4824,9
2019-02-03,4931,6
2019-02-10,4930,4
2019-02-17,5008,6
2019-02-24,5062,5
2019-03-03,5048,4
2019-03-10,4897,8
2019-03-17,5002,4
2019-03-24,5118,6
2019-03-31,4982,5
2019-04-07,4971,6
2019-04-14,5017,5
2019-04-21,5049,6
2019-04-28,4915,7
2019-05-05,4860,5
2019-05-12,5132,6
2019-05-19,4879,8
2019-05-26,5109,7
2019-06-02,4943,4
2019-06-09,4940,3
2019-06-16,5115,4
2019-06-23,5090,7
2019-06-30,4964,4
2019-07-07,4947,8
2019-07-14,4950,6
2019-07-21,4941,5
2019-07-28,5107,2
2019-08-04,4891,5
2019-08-11,5020,6
2019-08-18,4958,6
2019-08-25,5000,6
2019-09-01,5049,5
2019-09-08,5007,6
2019-09-15,4932,7
2019-09-22,4973,7
2019-09-29,4866,5
2019-10-06,4887,1
2019-10-13,5068,5
2019-10-20,5079,4
2019-10-27,5060,7
2019-11-03,4940,6
2019-11-10,4998,6
2019-11-17,5115,5
2019-11-24,5120,5
2019-12-01,5046,5
2019-12-08,5065,5
2019-12-15,4971,7
2019-12-22,5233,5
2019-12-29,5120,6
2020-01-05,5051,3
2020-01-12,5010,2
2020-01-19,5066,3
2020-01-26,4902,5
2020-02-02,4952,6
2020-02-09,4945,5
2020-02-16,5173,6
2020-02-23,5020,7
2020-03-01,4921,5
2020-03-08,4811,6
2020-03-15,4946,5
2020-03-22,4946,4
2020-03-29,5024,4
2020-04-05,4947,7
2020-04-12,5029,5
2020-04-19,4979,3
2020-04-26,4982,3
2020-05-03,5052,4
2020-05-10,4934,7
2020-05-17,5023,7
2020-05-24,4910,5
2020-05-31,4958,4
2020-06-07,5037,3
2020-06-14,4987,5
2020-06-21,4952,4
2020-06-28,4895,3
2020-07-05,5043,6
2020-07-12,4873,6
2020-07-19,5005,5
2020-07-26,5061,2
2020-08-02,5041,5
2020-08-09,5023,7
2020-08-16,5019,5
2020-08-23,4904,7
2020-08-30,5061,7
2020-09-06,5022,7
2020-09-13,4902,4
2020-09-20,5074,7
2020-09-27,4982,7
2020-10-04,4952,6
2020-10-11,4902,2
2020-10-18,5003,6
2020-10-25,5034,3
2020-11-01,4995,6
2020-11-08,4877,8
2020-11-15,4965,4
2020-11-22,5136,3
2020-11-29,5001,4
2020-12-06,5026,3
2020-12-13,4992,4
2020-12-20,4956,2
2020-12-27,4939,3
2021-01-03,5052,5
2021-01-10,4968,7
2021-01-17,5053,9
2021-01-24,4958,3
2021-01-31,4959,6
2021-02-07,5037,6
2021-02-14,4996,5
2021-02-21,5013,2
2021-02-28,5013,5
2021-03-07,4902,6
2021-03-14,4938,4
2021-03-21,4935,7
2021-03-28,4997,2
2021-04-04,4973,7
2021-04-11,5120,7
2021-04-18,4960,5
2021-04-25,5078,5
2021-05-02,5057,6
2021-05-09,5101,6
2021-05-16,5124,7
2021-05-23,5095,5
2021-05-30,4980,5
2021-06-06,5004,7
2021-06-13,5016,3
2021-06-20,4981,7
2021-06-27,4866,3
2021-07-04,4971,6
2021-07-11,4964,5
2021-07-18,4982,7
2021-07-25,4840,7
2021-08-01,4959,6
2021-08-08,5038,3
2021-08-15,4964,9
2021-08-22,5056,2
2021-08-29,5058,6
2021-09-05,5009,5
2021-09-12,4974,8
2021-09-19,5011,4
2021-09-26,4860,4
2021-10-03,4968,5
2021-10-10,5026,4
2021-10-17,5044,4
2021-10-24,4924,5
2021-10-31,4960,4
2021-11-07,5132,4
2021-11-14,4856,4
2021-11-21,4924,3
2021-11-28,4932,8
2021-12-05,4971,7
2021-12-12,5062,4
2021-12-19,5093,5
2021-12-26,5083,5
2022-01-02,5120,5
2022-01-09,4968,3
2022-01-16,5095,6
2022-01-23,4941,6
2022-01-30,5020,8
